1507.500000,-1.8240E-008,1507.500000,-1.8240E-008,1507.500000,-1.8240E-008
1507.550000,-9.8870E-009,1507.550000,-9.8870E-009,1507.550000,-9.8870E-009
1507.600000,2.6300E-008,1507.600000,2.6300E-008,1507.600000,2.6300E-008
1507.650000,1.8380E-008,1507.650000,1.8380E-008,1507.650000,1.8380E-008
1507.700000,1.2580E-008,1507.700000,1.2580E-008,1507.700000,1.2580E-008
1507.750000,4.3280E-008,1507.750000,4.3280E-008,1507.750000,4.3280E-008
1507.800000,2.3750E-008,1507.800000,2.3750E-008,1507.800000,2.3750E-008
1507.850000,2.5700E-008,1507.850000,2.5700E-008,1507.850000,2.5700E-008
1507.900000,-3.2190E-011,1507.900000,-3.2190E-011,1507.900000,-3.2190E-011
1507.950000,5.4460E-008,1507.950000,5.4460E-008,1507.950000,5.4460E-008
1508.000000,7.8860E-009,1508.000000,7.8860E-009,1508.000000,7.8860E-009
1508.050000,1.5360E-008,1508.050000,1.5360E-008,1508.050000,1.5360E-008
1508.100000,-3.4330E-009,1508.100000,-3.4330E-009,1508.100000,-3.4330E-009
1508.150000,5.1300E-009,1508.150000,5.1300E-009,1508.150000,5.1300E-009
1508.200000,2.0490E-008,1508.200000,2.0490E-008,1508.200000,2.0490E-008
1508.250000,-2.0250E-008,1508.250000,-2.0250E-008,1508.250000,-2.0250E-008
1508.300000,2.5080E-008,1508.300000,2.5080E-008,1508.300000,2.5080E-008
1508.350000,1.8470E-008,1508.350000,1.8470E-008,1508.350000,1.8470E-008
1508.400000,7.1400E-009,1508.400000,7.1400E-009,1508.400000,7.1400E-009
1508.450000,-5.1860E-009,1508.450000,-5.1860E-009,1508.450000,-5.1860E-009
1508.500000,6.0940E-008,1508.500000,6.0940E-008,1508.500000,6.0940E-008
1508.550000,-2.3100E-008,1508.550000,-2.3100E-008,1508.550000,-2.3100E-008
1508.600000,-1.1920E-008,1508.600000,-1.1920E-008,1508.600000,-1.1920E-008
1508.650000,-1.1600E-008,1508.650000,-1.1600E-008,1508.650000,-1.1600E-008
1508.700000,-2.7920E-009,1508.700000,-2.7920E-009,1508.700000,-2.7920E-009
1508.750000,2.2410E-008,1508.750000,2.2410E-008,1508.750000,2.2410E-008
1508.800000,4.7850E-008,1508.800000,4.7850E-008,1508.800000,4.7850E-008
1508.850000,3.9260E-008,1508.850000,3.9260E-008,1508.850000,3.9260E-008
1508.900000,3.1960E-008,1508.900000,3.1960E-008,1508.900000,3.1960E-008
1508.950000,2.8390E-008,1508.950000,2.8390E-008,1508.950000,2.8390E-008
1509.000000,4.4080E-008,1509.000000,4.4080E-008,1509.000000,4.4080E-008
1509.050000,4.1580E-008,1509.050000,4.1580E-008,1509.050000,4.1580E-008
1509.100000,-8.8120E-010,1509.100000,-8.8120E-010,1509.100000,-8.8120E-010
1509.150000,1.3520E-008,1509.150000,1.3520E-008,1509.150000,1.3520E-008
1509.200000,-3.8960E-008,1509.200000,-3.8960E-008,1509.200000,-3.8960E-008
1509.250000,1.4710E-008,1509.250000,1.4710E-008,1509.250000,1.4710E-008
1509.300000,1.8300E-008,1509.300000,1.8300E-008,1509.300000,1.8300E-008
1509.350000,6.3500E-008,1509.350000,6.3500E-008,1509.350000,6.3500E-008
1509.400000,-1.4320E-008,1509.400000,-1.4320E-008,1509.400000,-1.4320E-008
1509.450000,5.0920E-008,1509.450000,5.0920E-008,1509.450000,5.0920E-008
1509.500000,2.3790E-008,1509.500000,2.3790E-008,1509.500000,2.3790E-008
1509.550000,2.6000E-008,1509.550000,2.6000E-008,1509.550000,2.6000E-008
1509.600000,2.6660E-008,1509.600000,2.6660E-008,1509.600000,2.6660E-008
1509.650000,8.6480E-009,1509.650000,8.6480E-009,1509.650000,8.6480E-009
1509.700000,2.3950E-008,1509.700000,2.3950E-008,1509.700000,2.3950E-008
1509.750000,5.0580E-008,1509.750000,5.0580E-008,1509.750000,5.0580E-008
1509.800000,3.4960E-009,1509.800000,3.4960E-009,1509.800000,3.4960E-009
1509.850000,-5.8030E-008,1509.850000,-5.8030E-008,1509.850000,-5.8030E-008
1509.900000,2.6590E-008,1509.900000,2.6590E-008,1509.900000,2.6590E-008
1509.950000,-2.5810E-009,1509.950000,-2.5810E-009,1509.950000,-2.5810E-009
1510.000000,5.4350E-008,1510.000000,5.4350E-008,1510.000000,5.4350E-008
1510.050000,1.1510E-009,1510.050000,1.1510E-009,1510.050000,1.1510E-009
1510.100000,2.2590E-008,1510.100000,2.2590E-008,1510.100000,2.2590E-008
1510.150000,5.8430E-009,1510.150000,5.8430E-009,1510.150000,5.8430E-009
1510.200000,-7.1900E-009,1510.200000,-7.1900E-009,1510.200000,-7.1900E-009
1510.250000,5.7150E-009,1510.250000,5.7150E-009,1510.250000,5.7150E-009
1510.300000,5.0560E-008,1510.300000,5.0560E-008,1510.300000,5.0560E-008
1510.350000,2.4350E-008,1510.350000,2.4350E-008,1510.350000,2.4350E-008
1510.400000,-1.5290E-008,1510.400000,-1.5290E-008,1510.400000,-1.5290E-008
1510.450000,2.3540E-008,1510.450000,2.3540E-008,1510.450000,2.3540E-008
1510.500000,3.2620E-009,1510.500000,3.2620E-009,1510.500000,3.2620E-009
1510.550000,2.1400E-008,1510.550000,2.1400E-008,1510.550000,2.1400E-008
1510.600000,-4.3070E-009,1510.600000,-4.3070E-009,1510.600000,-4.3070E-009
1510.650000,-1.4580E-008,1510.650000,-1.4580E-008,1510.650000,-1.4580E-008
1510.700000,-3.2180E-008,1510.700000,-3.2180E-008,1510.700000,-3.2180E-008
1510.750000,2.3400E-008,1510.750000,2.3400E-008,1510.750000,2.3400E-008
1510.800000,-1.6370E-009,1510.800000,-1.6370E-009,1510.800000,-1.6370E-009
1510.850000,-1.6800E-008,1510.850000,-1.6800E-008,1510.850000,-1.6800E-008
1510.900000,2.5420E-008,1510.900000,2.5420E-008,1510.900000,2.5420E-008
1510.950000,1.6000E-008,1510.950000,1.6000E-008,1510.950000,1.6000E-008
1511.000000,1.9440E-008,1511.000000,1.9440E-008,1511.000000,1.9440E-008
1511.050000,1.1580E-008,1511.050000,1.1580E-008,1511.050000,1.1580E-008
1511.100000,4.0080E-009,1511.100000,4.0080E-009,1511.100000,4.0080E-009
1511.150000,1.4010E-008,1511.150000,1.4010E-008,1511.150000,1.4010E-008
1511.200000,3.8830E-008,1511.200000,3.8830E-008,1511.200000,3.8830E-008
1511.250000,2.0890E-008,1511.250000,2.0890E-008,1511.250000,2.0890E-008
1511.300000,7.8050E-008,1511.300000,7.8050E-008,1511.300000,7.8050E-008
1511.350000,-3.7490E-008,1511.350000,-3.7490E-008,1511.350000,-3.7490E-008
1511.400000,5.5650E-008,1511.400000,5.5650E-008,1511.400000,5.5650E-008
1511.450000,-1.8720E-008,1511.450000,-1.8720E-008,1511.450000,-1.8720E-008
1511.500000,4.6430E-008,1511.500000,4.6430E-008,1511.500000,4.6430E-008
1511.550000,-3.4910E-008,1511.550000,-3.4910E-008,1511.550000,-3.4910E-008
1511.600000,1.9440E-008,1511.600000,1.9440E-008,1511.600000,1.9440E-008
1511.650000,-1.6030E-008,1511.650000,-1.6030E-008,1511.650000,-1.6030E-008
1511.700000,2.2210E-009,1511.700000,2.2210E-009,1511.700000,2.2210E-009
1511.750000,-1.6050E-009,1511.750000,-1.6050E-009,1511.750000,-1.6050E-009
1511.800000,3.9250E-009,1511.800000,3.9250E-009,1511.800000,3.9250E-009
1511.850000,-1.8650E-009,1511.850000,-1.8650E-009,1511.850000,-1.8650E-009
1511.900000,1.0980E-008,1511.900000,1.0980E-008,1511.900000,1.0980E-008
1511.950000,9.0210E-008,1511.950000,9.0210E-008,1511.950000,9.0210E-008
1512.000000,5.6190E-008,1512.000000,5.6190E-008,1512.000000,5.6190E-008
1512.050000,-3.8710E-008,1512.050000,-3.8710E-008,1512.050000,-3.8710E-008
1512.100000,1.1300E-008,1512.100000,1.1300E-008,1512.100000,1.1300E-008
1512.150000,4.8940E-008,1512.150000,4.8940E-008,1512.150000,4.8940E-008
1512.200000,3.1470E-008,1512.200000,3.1470E-008,1512.200000,3.1470E-008
1512.250000,4.1500E-008,1512.250000,4.1500E-008,1512.250000,4.1500E-008
1512.300000,1.8780E-008,1512.300000,1.8780E-008,1512.300000,1.8780E-008
1512.350000,2.5540E-008,1512.350000,2.5540E-008,1512.350000,2.5540E-008
1512.400000,-4.5320E-009,1512.400000,-4.5320E-009,1512.400000,-4.5320E-009
1512.450000,2.7900E-008,1512.450000,2.7900E-008,1512.450000,2.7900E-008
1512.500000,2.1090E-008,1512.500000,2.1090E-008,1512.500000,2.1090E-008
1512.550000,3.1290E-008,1512.550000,3.1290E-008,1512.550000,3.1290E-008
1512.600000,2.0510E-008,1512.600000,2.0510E-008,1512.600000,2.0510E-008
1512.650000,-1.9660E-008,1512.650000,-1.9660E-008,1512.650000,-1.9660E-008
1512.700000,2.7120E-008,1512.700000,2.7120E-008,1512.700000,2.7120E-008
1512.750000,6.7250E-009,1512.750000,6.7250E-009,1512.750000,6.7250E-009
1512.800000,1.7930E-008,1512.800000,1.7930E-008,1512.800000,1.7930E-008
1512.850000,2.3780E-008,1512.850000,2.3780E-008,1512.850000,2.3780E-008
1512.900000,3.6400E-008,1512.900000,3.6400E-008,1512.900000,3.6400E-008
1512.950000,4.5300E-008,1512.950000,4.5300E-008,1512.950000,4.5300E-008
1513.000000,-2.3800E-008,1513.000000,-2.3800E-008,1513.000000,-2.3800E-008
1513.050000,5.4420E-009,1513.050000,5.4420E-009,1513.050000,5.4420E-009
1513.100000,2.3410E-008,1513.100000,2.3410E-008,1513.100000,2.3410E-008
1513.150000,-3.9200E-009,1513.150000,-3.9200E-009,1513.150000,-3.9200E-009
1513.200000,3.5480E-008,1513.200000,3.5480E-008,1513.200000,3.5480E-008
1513.250000,-3.6690E-008,1513.250000,-3.6690E-008,1513.250000,-3.6690E-008
1513.300000,1.3350E-008,1513.300000,1.3350E-008,1513.300000,1.3350E-008
1513.350000,1.6710E-008,1513.350000,1.6710E-008,1513.350000,1.6710E-008
1513.400000,1.7660E-008,1513.400000,1.7660E-008,1513.400000,1.7660E-008
1513.450000,8.0380E-009,1513.450000,8.0380E-009,1513.450000,8.0380E-009
1513.500000,2.1710E-009,1513.500000,2.1710E-009,1513.500000,2.1710E-009
1513.550000,1.9980E-009,1513.550000,1.9980E-009,1513.550000,1.9980E-009
1513.600000,-2.3750E-008,1513.600000,-2.3750E-008,1513.600000,-2.3750E-008
1513.650000,1.0580E-008,1513.650000,1.0580E-008,1513.650000,1.0580E-008
1513.700000,-1.8560E-008,1513.700000,-1.8560E-008,1513.700000,-1.8560E-008
1513.750000,-2.0250E-008,1513.750000,-2.0250E-008,1513.750000,-2.0250E-008
1513.800000,5.8000E-008,1513.800000,5.8000E-008,1513.800000,5.8000E-008
1513.850000,1.3640E-008,1513.850000,1.3640E-008,1513.850000,1.3640E-008
1513.900000,-1.7550E-008,1513.900000,-1.7550E-008,1513.900000,-1.7550E-008
1513.950000,2.4180E-008,1513.950000,2.4180E-008,1513.950000,2.4180E-008
1514.000000,-2.7020E-008,1514.000000,-2.7020E-008,1514.000000,-2.7020E-008
1514.050000,3.6460E-008,1514.050000,3.6460E-008,1514.050000,3.6460E-008
1514.100000,1.5680E-008,1514.100000,1.5680E-008,1514.100000,1.5680E-008
1514.150000,4.9950E-009,1514.150000,4.9950E-009,1514.150000,4.9950E-009
1514.200000,1.6540E-008,1514.200000,1.6540E-008,1514.200000,1.6540E-008
1514.250000,8.5100E-008,1514.250000,8.5100E-008,1514.250000,8.5100E-008
1514.300000,2.9050E-008,1514.300000,2.9050E-008,1514.300000,2.9050E-008
1514.350000,2.8000E-008,1514.350000,2.8000E-008,1514.350000,2.8000E-008
1514.400000,1.7320E-008,1514.400000,1.7320E-008,1514.400000,1.7320E-008
1514.450000,-1.4630E-008,1514.450000,-1.4630E-008,1514.450000,-1.4630E-008
1514.500000,5.7450E-008,1514.500000,5.7450E-008,1514.500000,5.7450E-008
1514.550000,5.0600E-008,1514.550000,5.0600E-008,1514.550000,5.0600E-008
1514.600000,-8.8200E-009,1514.600000,-8.8200E-009,1514.600000,-8.8200E-009
1514.650000,3.3660E-008,1514.650000,3.3660E-008,1514.650000,3.3660E-008
1514.700000,3.2730E-008,1514.700000,3.2730E-008,1514.700000,3.2730E-008
1514.750000,-1.8400E-009,1514.750000,-1.8400E-009,1514.750000,-1.8400E-009
1514.800000,5.3830E-008,1514.800000,5.3830E-008,1514.800000,5.3830E-008
1514.850000,-3.4300E-008,1514.850000,-3.4300E-008,1514.850000,-3.4300E-008
1514.900000,3.8460E-008,1514.900000,3.8460E-008,1514.900000,3.8460E-008
1514.950000,2.2740E-010,1514.950000,2.2740E-010,1514.950000,2.2740E-010
1515.000000,1.6370E-008,1515.000000,1.6370E-008,1515.000000,1.6370E-008
1515.050000,5.1010E-008,1515.050000,5.1010E-008,1515.050000,5.1010E-008
1515.100000,2.9930E-008,1515.100000,2.9930E-008,1515.100000,2.9930E-008
1515.150000,-4.0010E-008,1515.150000,-4.0010E-008,1515.150000,-4.0010E-008
1515.200000,3.5950E-008,1515.200000,3.5950E-008,1515.200000,3.5950E-008
1515.250000,5.8110E-008,1515.250000,5.8110E-008,1515.250000,5.8110E-008
1515.300000,8.5310E-009,1515.300000,8.5310E-009,1515.300000,8.5310E-009
1515.350000,5.6800E-008,1515.350000,5.6800E-008,1515.350000,5.6800E-008
1515.400000,1.6220E-008,1515.400000,1.6220E-008,1515.400000,1.6220E-008
1515.450000,-6.9730E-009,1515.450000,-6.9730E-009,1515.450000,-6.9730E-009
1515.500000,-8.5140E-009,1515.500000,-8.5140E-009,1515.500000,-8.5140E-009
1515.550000,1.6220E-008,1515.550000,1.6220E-008,1515.550000,1.6220E-008
1515.600000,1.9720E-008,1515.600000,1.9720E-008,1515.600000,1.9720E-008
1515.650000,2.9800E-008,1515.650000,2.9800E-008,1515.650000,2.9800E-008
1515.700000,2.5660E-008,1515.700000,2.5660E-008,1515.700000,2.5660E-008
1515.750000,-6.4570E-009,1515.750000,-6.4570E-009,1515.750000,-6.4570E-009
1515.800000,3.7560E-008,1515.800000,3.7560E-008,1515.800000,3.7560E-008
1515.850000,-1.5240E-008,1515.850000,-1.5240E-008,1515.850000,-1.5240E-008
1515.900000,4.5260E-008,1515.900000,4.5260E-008,1515.900000,4.5260E-008
1515.950000,-1.3670E-009,1515.950000,-1.3670E-009,1515.950000,-1.3670E-009
1516.000000,2.6630E-008,1516.000000,2.6630E-008,1516.000000,2.6630E-008
1516.050000,6.9820E-008,1516.050000,6.9820E-008,1516.050000,6.9820E-008
1516.100000,-2.9220E-008,1516.100000,-2.9220E-008,1516.100000,-2.9220E-008
1516.150000,2.1070E-008,1516.150000,2.1070E-008,1516.150000,2.1070E-008
1516.200000,3.4250E-008,1516.200000,3.4250E-008,1516.200000,3.4250E-008
1516.250000,-8.1160E-009,1516.250000,-8.1160E-009,1516.250000,-8.1160E-009
1516.300000,4.5420E-009,1516.300000,4.5420E-009,1516.300000,4.5420E-009
1516.350000,1.9300E-008,1516.350000,1.9300E-008,1516.350000,1.9300E-008
1516.400000,3.4580E-008,1516.400000,3.4580E-008,1516.400000,3.4580E-008
1516.450000,3.2160E-009,1516.450000,3.2160E-009,1516.450000,3.2160E-009
1516.500000,-1.0480E-008,1516.500000,-1.0480E-008,1516.500000,-1.0480E-008
1516.550000,3.8730E-008,1516.550000,3.8730E-008,1516.550000,3.8730E-008
1516.600000,9.7610E-009,1516.600000,9.7610E-009,1516.600000,9.7610E-009
1516.650000,6.2760E-008,1516.650000,6.2760E-008,1516.650000,6.2760E-008
1516.700000,5.0550E-009,1516.700000,5.0550E-009,1516.700000,5.0550E-009
1516.750000,-2.1590E-008,1516.750000,-2.1590E-008,1516.750000,-2.1590E-008
1516.800000,4.9610E-008,1516.800000,4.9610E-008,1516.800000,4.9610E-008
1516.850000,2.8820E-008,1516.850000,2.8820E-008,1516.850000,2.8820E-008
1516.900000,3.3600E-008,1516.900000,3.3600E-008,1516.900000,3.3600E-008
1516.950000,9.2440E-009,1516.950000,9.2440E-009,1516.950000,9.2440E-009
1517.000000,8.9610E-008,1517.000000,8.9610E-008,1517.000000,8.9610E-008
1517.050000,2.4880E-008,1517.050000,2.4880E-008,1517.050000,2.4880E-008
1517.100000,8.1410E-008,1517.100000,8.1410E-008,1517.100000,8.1410E-008
1517.150000,1.6230E-008,1517.150000,1.6230E-008,1517.150000,1.6230E-008
1517.200000,5.3330E-008,1517.200000,5.3330E-008,1517.200000,5.3330E-008
1517.250000,7.8870E-009,1517.250000,7.8870E-009,1517.250000,7.8870E-009
1517.300000,1.1860E-008,1517.300000,1.1860E-008,1517.300000,1.1860E-008
1517.350000,4.5710E-008,1517.350000,4.5710E-008,1517.350000,4.5710E-008
1517.400000,4.1720E-008,1517.400000,4.1720E-008,1517.400000,4.1720E-008
1517.450000,3.7590E-008,1517.450000,3.7590E-008,1517.450000,3.7590E-008
1517.500000,7.8230E-008,1517.500000,7.8230E-008,1517.500000,7.8230E-008
1517.550000,4.7980E-008,1517.550000,4.7980E-008,1517.550000,4.7980E-008
1517.600000,3.1450E-008,1517.600000,3.1450E-008,1517.600000,3.1450E-008
1517.650000,4.7470E-008,1517.650000,4.7470E-008,1517.650000,4.7470E-008
1517.700000,8.0760E-009,1517.700000,8.0760E-009,1517.700000,8.0760E-009
1517.750000,1.2890E-008,1517.750000,1.2890E-008,1517.750000,1.2890E-008
1517.800000,2.8740E-009,1517.800000,2.8740E-009,1517.800000,2.8740E-009
1517.850000,5.0290E-008,1517.850000,5.0290E-008,1517.850000,5.0290E-008
1517.900000,5.3840E-008,1517.900000,5.3840E-008,1517.900000,5.3840E-008
1517.950000,5.1690E-008,1517.950000,5.1690E-008,1517.950000,5.1690E-008
1518.000000,4.7900E-009,1518.000000,4.7900E-009,1518.000000,4.7900E-009
1518.050000,2.2680E-008,1518.050000,2.2680E-008,1518.050000,2.2680E-008
1518.100000,3.4720E-008,1518.100000,3.4720E-008,1518.100000,3.4720E-008
1518.150000,5.5320E-009,1518.150000,5.5320E-009,1518.150000,5.5320E-009
1518.200000,4.9250E-008,1518.200000,4.9250E-008,1518.200000,4.9250E-008
1518.250000,-5.8800E-009,1518.250000,-5.8800E-009,1518.250000,-5.8800E-009
1518.300000,-2.8480E-008,1518.300000,-2.8480E-008,1518.300000,-2.8480E-008
1518.350000,5.5400E-008,1518.350000,5.5400E-008,1518.350000,5.5400E-008
1518.400000,4.1560E-008,1518.400000,4.1560E-008,1518.400000,4.1560E-008
1518.450000,2.4790E-008,1518.450000,2.4790E-008,1518.450000,2.4790E-008
1518.500000,3.3120E-008,1518.500000,3.3120E-008,1518.500000,3.3120E-008
1518.550000,5.4220E-008,1518.550000,5.4220E-008,1518.550000,5.4220E-008
1518.600000,7.3590E-008,1518.600000,7.3590E-008,1518.600000,7.3590E-008
1518.650000,3.2830E-008,1518.650000,3.2830E-008,1518.650000,3.2830E-008
1518.700000,-3.4870E-008,1518.700000,-3.4870E-008,1518.700000,-3.4870E-008
1518.750000,5.4360E-008,1518.750000,5.4360E-008,1518.750000,5.4360E-008
1518.800000,1.9050E-009,1518.800000,1.9050E-009,1518.800000,1.9050E-009
1518.850000,8.0600E-009,1518.850000,8.0600E-009,1518.850000,8.0600E-009
1518.900000,7.4200E-008,1518.900000,7.4200E-008,1518.900000,7.4200E-008
1518.950000,3.0940E-008,1518.950000,3.0940E-008,1518.950000,3.0940E-008
1519.000000,1.3630E-008,1519.000000,1.3630E-008,1519.000000,1.3630E-008
1519.050000,-2.4520E-008,1519.050000,-2.4520E-008,1519.050000,-2.4520E-008
1519.100000,4.3850E-008,1519.100000,4.3850E-008,1519.100000,4.3850E-008
1519.150000,1.9730E-008,1519.150000,1.9730E-008,1519.150000,1.9730E-008
1519.200000,7.1180E-008,1519.200000,7.1180E-008,1519.200000,7.1180E-008
1519.250000,5.7720E-008,1519.250000,5.7720E-008,1519.250000,5.7720E-008
1519.300000,5.9910E-008,1519.300000,5.9910E-008,1519.300000,5.9910E-008
1519.350000,1.2960E-008,1519.350000,1.2960E-008,1519.350000,1.2960E-008
1519.400000,2.1890E-008,1519.400000,2.1890E-008,1519.400000,2.1890E-008
1519.450000,2.8560E-008,1519.450000,2.8560E-008,1519.450000,2.8560E-008
1519.500000,1.0900E-008,1519.500000,1.0900E-008,1519.500000,1.0900E-008
1519.550000,-1.1410E-008,1519.550000,-1.1410E-008,1519.550000,-1.1410E-008
1519.600000,5.7280E-008,1519.600000,5.7280E-008,1519.600000,5.7280E-008
1519.650000,3.8950E-008,1519.650000,3.8950E-008,1519.650000,3.8950E-008
1519.700000,1.3180E-008,1519.700000,1.3180E-008,1519.700000,1.3180E-008
1519.750000,4.6500E-008,1519.750000,4.6500E-008,1519.750000,4.6500E-008
1519.800000,4.5960E-009,1519.800000,4.5960E-009,1519.800000,4.5960E-009
1519.850000,5.4920E-008,1519.850000,5.4920E-008,1519.850000,5.4920E-008
1519.900000,6.0600E-008,1519.900000,6.0600E-008,1519.900000,6.0600E-008
1519.950000,4.4500E-008,1519.950000,4.4500E-008,1519.950000,4.4500E-008
1520.000000,7.1020E-008,1520.000000,7.1020E-008,1520.000000,7.1020E-008
1520.050000,3.0730E-008,1520.050000,3.0730E-008,1520.050000,3.0730E-008
1520.100000,5.3510E-008,1520.100000,5.3510E-008,1520.100000,5.3510E-008
1520.150000,6.7030E-008,1520.150000,6.7030E-008,1520.150000,6.7030E-008
1520.200000,6.1100E-009,1520.200000,6.1100E-009,1520.200000,6.1100E-009
1520.250000,7.2730E-008,1520.250000,7.2730E-008,1520.250000,7.2730E-008
1520.300000,5.0360E-008,1520.300000,5.0360E-008,1520.300000,5.0360E-008
1520.350000,5.4630E-008,1520.350000,5.4630E-008,1520.350000,5.4630E-008
1520.400000,6.6270E-008,1520.400000,6.6270E-008,1520.400000,6.6270E-008
1520.450000,2.0680E-009,1520.450000,2.0680E-009,1520.450000,2.0680E-009
1520.500000,3.7400E-008,1520.500000,3.7400E-008,1520.500000,3.7400E-008
1520.550000,1.7770E-008,1520.550000,1.7770E-008,1520.550000,1.7770E-008
1520.600000,9.5860E-008,1520.600000,9.5860E-008,1520.600000,9.5860E-008
1520.650000,3.8540E-008,1520.650000,3.8540E-008,1520.650000,3.8540E-008
1520.700000,5.2410E-008,1520.700000,5.2410E-008,1520.700000,5.2410E-008
1520.750000,8.3970E-008,1520.750000,8.3970E-008,1520.750000,8.3970E-008
1520.800000,6.7430E-008,1520.800000,6.7430E-008,1520.800000,6.7430E-008
1520.850000,4.3270E-008,1520.850000,4.3270E-008,1520.850000,4.3270E-008
1520.900000,5.9550E-008,1520.900000,5.9550E-008,1520.900000,5.9550E-008
1520.950000,5.3870E-008,1520.950000,5.3870E-008,1520.950000,5.3870E-008
1521.000000,1.9040E-008,1521.000000,1.9040E-008,1521.000000,1.9040E-008
1521.050000,1.9740E-008,1521.050000,1.9740E-008,1521.050000,1.9740E-008
1521.100000,6.7960E-008,1521.100000,6.7960E-008,1521.100000,6.7960E-008
1521.150000,5.7730E-008,1521.150000,5.7730E-008,1521.150000,5.7730E-008
1521.200000,4.7360E-008,1521.200000,4.7360E-008,1521.200000,4.7360E-008
1521.250000,4.3650E-008,1521.250000,4.3650E-008,1521.250000,4.3650E-008
1521.300000,9.3260E-008,1521.300000,9.3260E-008,1521.300000,9.3260E-008
1521.350000,5.7670E-008,1521.350000,5.7670E-008,1521.350000,5.7670E-008
1521.400000,4.5130E-008,1521.400000,4.5130E-008,1521.400000,4.5130E-008
1521.450000,9.6950E-008,1521.450000,9.6950E-008,1521.450000,9.6950E-008
